Date,Time,Location,Airline/Op,Aboard,Fatalities,Summary
1908,17, Virginia,Military - U.S. Army,2,1,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later."
1912,6, New Jersey,Military - U.S. Navy,5,5,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
1913,,Victoria,Private,1,1,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
1913,18,Over the North Sea,Military - German Navy,20,14,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
1913,10, Germany,Military - German Navy,30,30,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft.."
1915,1, Belgium,Military - German Navy,41,21,Crashed into trees while attempting to land after being shot down by British and French aircraft.
1915,15, Germany,Military - German Navy,19,19,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."
1916,, Bulgeria,Military - German Army,20,20,"Crashed near the Black Sea, cause unknown."
1916,1, England,Military - German Navy,22,22,Shot down by British aircraft crashing in flames.
1916,23, England,Military - German Navy,19,19,Shot down in flames by the British 39th Home Defence Squadron.
1916,, Germany,Military - German Army,28,27,Crashed in a storm.
1916,23, England,Military - German Navy,20,20,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
1917,, Belgium,Military - German Army,20,20,Caught fire and crashed.
1917,,Off Northern Germany,Military - German Navy,23,23,Struck by lightning and crashed into the BaltiSea.
1917,5, North Sea,Military - German Navy,21,21,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
1917,8, North Sea,Military - German Navy,24,24,Shot down by British aircraft.
1917,7,Off western Denmark,Military - German Navy,18,18,Shot down by British aircraft.
1917,7, France,Military - German Navy,18,18,Shot down by French anti-aircraft fire.
1918,21,Over the Mediterranean,Military - German Navy,23,23,Exploded and crashed into the sea off the southern coast of Italy.
1918,, Germany,Military - German Navy,22,22,"Shot down by British aircraft crashing from a height of 17,000 ft."
1918,10, North Sea,Military - German Navy,19,19,Shot down by british aircraft.
1918,, New Jersey,US Aerial Mail Service,1,1,
1919,, Ohio,US Aerial Mail Service,1,1,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
1919,, Pennsylvania,US Aerial Mail Service,1,1,
1919,, England,Aircraft Transport and Travel,1,1,
1919,, Maryland,US Aerial Mail Service,1,1,
1919,,English Channel,Aircraft Transport and Travel,,,
1919,, New Jersey,US Aerial Mail Service,1,1,
1920,, Indiana,US Aerial Mail Service,1,1,
1920,, New Jersey,US Aerial Mail Service,1,1,
1920,, New Jersey,US Aerial Mail Service,2,1,
1920,, New Jersey,US Aerial Mail Service,2,1,
1920,, Iowa,US Aerial Mail Service,2,1,
1920,, Ohio,US Aerial Mail Service,1,1,
1920,, England,By Air,1,1,
1920,, Maryland,US Aerial Mail Service,1,1,
1920,, New Jersey,US Aerial Mail Service,2,2,
1920,, Ohio,US Aerial Mail Service,2,2,
1920,, Pennsylvania,US Aerial Mail Service,1,1,
1920,, France,Latecoere Airlines,2,2,
1920,, Spain,Latecoere Airlines,2,2,Crashed while landing.
1920,, Illinois,US Aerial Mail Service,1,1,
1920,, Wyoming,US Aerial Mail Service,1,1,
1920,, England,Handley Page Transport,8,4,Crashed into a tree on take off in fog.
1920,, Spain,Aeropostale,1,1,
1921,, Minnisota,US Aerial Mail Service,1,1,
1921,, Wisconsin,US Aerial Mail Service,3,3,
1921,,Off Gibraltar,Aeropostale,2,2,
1921,, Nevada,US Aerial Mail Service,1,1,
1921,, Australia,Military - Royal Australian Air Force,2,1,
1921,, NY,US Aerial Mail Service,1,1,
1921,, Ohio,US Aerial Mail Service,1,1,
1921,, Wyoming,US Aerial Mail Service,1,1,
1921,, California,US Aerial Mail Service,1,1,
1921,, France,Aeropostale,2,2,
1921,17, England,Military - Royal Airship Works,46,46,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.
1921,, France,Franco-Roumaine,5,5,Crashed while making an approach to Le Bourget Airport in Paris.
1921,, Australia,West Australian Airways,3,3,
1922,, France,Handley Page Transport,5,5,Crashed at Le Bourget field.
1922,, Virginia,Military - U.S. Army Air Service,45,34,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
1922,, France,Daimler Airways / Grands Express Aeriens,7,7,"A midair collision occurred in poor visibility approximately 18 miles north of Beauvais, France. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
1922,, China,,17,17,All seventeen aboard were Chinese nationals.
1922,, England,Vickers,3,3,
