Date,Time,US,Airline/Op,Aboard,Fatalities,Summary
1908,17,US,Military - U.S. Army,2,1,Control
1912,06,US,Military - U.S. Navy,5,5,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
1913,,US,Private,1,1,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
1913,18,US,Military - German Navy,20,14,Control
1913,10,DE,Military - German Navy,30,30,Engine Failure
1915,01,BE,Military - German Navy,41,21,Shot Down
1915,15,DE,Military - German Navy,19,19,Lightning
1916,,US,Military - German Army,20,20,Accident
1916,01,US,Military - German Navy,22,22,Shot Down
1916,23,US,Military - German Navy,19,19,Shot Down
1916,,DE,Military - German Army,28,27,Accident
1916,23,US,Military - German Navy,20,20,Shot Down
1917,,BE,Military - German Army,20,20,Fire
1917,,US,Military - German Navy,23,23,Lightning
1917,05,US,Military - German Navy,21,21,Fire
1917,08,US,Military - German Navy,24,24,Shot Down
1917,07,US,Military - German Navy,18,18,Shot Down
1917,07,FR,Military - German Navy,18,18,Shot Down
1918,21,US,Military - German Navy,23,23,Accident
1918,,DE,Military - German Navy,22,22,Shot Down
1918,10,US,Military - German Navy,19,19,Shot Down
1918,,US,US Aerial Mail Service,1,1,
1919,,US,US Aerial Mail Service,1,1,Pilot Error
1919,,US,US Aerial Mail Service,1,1,
1919,,US,Aircraft Transport and Travel,1,1,
1919,,US,US Aerial Mail Service,1,1,
1919,,US,Aircraft Transport and Travel,,,
1919,,US,US Aerial Mail Service,1,1,
1920,,US,US Aerial Mail Service,1,1,
1920,,US,US Aerial Mail Service,1,1,
1920,,US,US Aerial Mail Service,2,1,
1920,,US,US Aerial Mail Service,2,1,
1920,,US,US Aerial Mail Service,2,1,
1920,,US,US Aerial Mail Service,1,1,
1920,,US,By Air,1,1,
1920,,US,US Aerial Mail Service,1,1,
1920,,US,US Aerial Mail Service,2,2,
1920,,US,US Aerial Mail Service,2,2,
1920,,US,US Aerial Mail Service,1,1,
1920,,FR,Latecoere Airlines,2,2,
1920,,ES,Latecoere Airlines,2,2,Landing
1920,,US,US Aerial Mail Service,1,1,
1920,,US,US Aerial Mail Service,1,1,
1920,,US,Handley Page Transport,8,4,Weather conditions
1920,,ES,Aeropostale,1,1,
1921,,US,US Aerial Mail Service,1,1,
1921,,US,US Aerial Mail Service,3,3,
1921,,US,Aeropostale,2,2,
1921,,US,US Aerial Mail Service,1,1,
1921,,AU,Military - Royal Australian Air Force,2,1,
1921,,US,US Aerial Mail Service,1,1,
1921,,US,US Aerial Mail Service,1,1,
1921,,US,US Aerial Mail Service,1,1,
1921,,US,US Aerial Mail Service,1,1,
1921,,FR,Aeropostale,2,2,
1921,17,US,Military - Royal Airship Works,46,46,Fire
1921,,FR,Franco-Roumaine,5,5,Accident
1921,,AU,West Australian Airways,3,3,
1922,,FR,Handley Page Transport,5,5,Accident
1922,,US,Military - U.S. Army Air Service,45,34,Control
1922,,FR,Daimler Airways / Grands Express Aeriens,7,7,Weather conditions
1922,,CN,,17,17,All seventeen aboard were Chinese nationals.
